MARCA,BOMAG,BOMAG,BOMAG,BOMAG,BOMAG,HAMM,DYNAPAC,DYNAPAC,CATERPILLAR,CATERPILLAR,CATERPILLAR,NEW HOLLAND,SANY,XCMG,AMMANN,JCB,SEM,CASE
Máquina,,,,,,,,,,,,,,,,,,
Modelo,BW211 D5-SL,BW211 D5-SL,BW211 D5-SL,BW212 D5-SL,BW213 D5-SL,HC110,CA25 D-Rhino,CA35 D-Rhino,CS10GC,CS11GC,CS12,V110,SSR120C-10S,XS123,ASC110,116D,510,1107EX
Peso (Kg),"10,630","10,630","10,630","11,490","12,320","11,765","10,500","12,200","10,492","11,235","11,743","11,380","12,400","12,000","11,490","11,560","10,000","11,200"
Número de material,93500000,93500004,58400031,58400036,58400041,,,,,,,,,,,,,
Motor,Cummins 4BT 3.9,Cummins 4BTAA 3.9,Deutz BF4M 2012 C,Deutz BF4M 2012 C,Deutz BF4M 2012 C,JDPS 4045PTE,Cummins QSF3.8,Cummins QSF3.8,Cat C4.4,Cat C4.4,Cat C7.1,S8000 4-stroke,DONGFENG CUMMINS QSB3.9-C150-3,Cummins QSF3.8,Cummins QSB 4.5-C160,JCB DIESELMAX TCA-85,WP4G130E22,S 8000
Ancho de compactación (m),2.1,2.1,2.1,2.13,2.13,2.14,2.13,2.13,2.13,2.13,2.13,2.16,2.13,2.13,2.13,2.1,2.1,2.1
Potencia (HP),100,110,132,132,132,135.4,130,130,112.4,112.4,157.6,110,110,139,160,114,130.7,110
Amplitud (mm),1.80 / 0.95,1.80 / 0.95,1.80 / 0.95,1.80 / 0.96,1.80 / 0.96,1.95/0.85,1.7/0.7,1.7/0.8,2.0/1.0,2.0/1.0,2.1/0.98,1.8/0.8,1.8/0.9,1.8/0.9,1.85/0.9,1.8/0.8,1.8/0.9,1.8/0.8
Carga Lineal Estática (Kg/cm),28.4,28.4,28.4,32.4,37.1,29.81,26,35,27.3,28.9,29.7,31,33.2,31.5,34.5,31.8,27.6,29
Gradeabilidad (%),45,45,45,45,45,58,41,46,55,55,57,40,65,45,60,55,45,36
País de origen,India,India,China,China,China,Germany,Sweden/ Brasil/ China,Sweden/ Brasil/ China,China,China,China,India,China/Brasil,Brasil,Brasil,India,China,India
Asistente de compactación," BOMAG ECONOMIZER
Sistema visual que permite a los operadores medir el progreso de la compactación en tiempo real. Utiliza una escala LED en la cabina para mostrar el nivel de compactación alcanzado, ayudando a evitar sobrecompacción o subcompactación. (Estandar)"," BOMAG ECONOMIZER
Sistema visual que permite a los operadores medir el progreso de la compactación en tiempo real. Utiliza una escala LED en la cabina para mostrar el nivel de compactación alcanzado, ayudando a evitar sobrecompacción o subcompactación. (Estandar)"," BOMAG ECONOMIZER
Sistema visual que permite a los operadores medir el progreso de la compactación en tiempo real. Utiliza una escala LED en la cabina para mostrar el nivel de compactación alcanzado, ayudando a evitar sobrecompacción o subcompactación. (Estandar)"," BOMAG ECONOMIZER
Sistema visual que permite a los operadores medir el progreso de la compactación en tiempo real. Utiliza una escala LED en la cabina para mostrar el nivel de compactación alcanzado, ayudando a evitar sobrecompacción o subcompactación. (Estandar)"," BOMAG ECONOMIZER
Sistema visual que permite a los operadores medir el progreso de la compactación en tiempo real. Utiliza una escala LED en la cabina para mostrar el nivel de compactación alcanzado, ayudando a evitar sobrecompacción o subcompactación. (Estandar)",No aplica,No aplica,No aplica,"CAT Machine Drive Power (MDP)
Este sistema mide la resistencia del terreno durante la compactación, proporcionando datos en tiempo real sobre la capacidad de trabajo del equipo y las condiciones del suelo. Permite ajustar la intensidad de la compactación para evitar sobrecarga en el motor y mejorar la eficiencia. (Opcional)","CAT Machine Drive Power (MDP)
Este sistema mide la resistencia del terreno durante la compactación, proporcionando datos en tiempo real sobre la capacidad de trabajo del equipo y las condiciones del suelo. Permite ajustar la intensidad de la compactación para evitar sobrecarga en el motor y mejorar la eficiencia. (Opcional)",No aplica,No aplica,No aplica,No aplica,"AMMANN ACEforce
 Tecnología de ajuste activo de la vibración, que ajusta continuamente la amplitud y la frecuencia del tambor según las condiciones del terreno. Esto mejora la eficiencia y la uniformidad de la compactación.","IntelliCompaction  Proporciona un valor de compactación relativa, lo que ayuda a lograr una compactación consistente y uniforme en todo el parche.",No aplica,No aplica
,"BOMAG TERRAMETER
Sistema que mide la rigidez del suelo mediante la vibración del tambor. Ofrece una lectura en tiempo real del módulo de elasticidad del material compactado, lo que facilita el control preciso de la compactación y la trazabilidad de los trabajos. Evib - MN/m2","BOMAG TERRAMETER
Sistema que mide la rigidez del suelo mediante la vibración del tambor. Ofrece una lectura en tiempo real del módulo de elasticidad del material compactado, lo que facilita el control preciso de la compactación y la trazabilidad de los trabajos. Evib - MN/m2","BOMAG TERRAMETER
Sistema que mide la rigidez del suelo mediante la vibración del tambor. Ofrece una lectura en tiempo real del módulo de elasticidad del material compactado, lo que facilita el control preciso de la compactación y la trazabilidad de los trabajos. Evib - MN/m2","BOMAG TERRAMETER
Sistema que mide la rigidez del suelo mediante la vibración del tambor. Ofrece una lectura en tiempo real del módulo de elasticidad del material compactado, lo que facilita el control preciso de la compactación y la trazabilidad de los trabajos. Evib - MN/m2","BOMAG TERRAMETER
Sistema que mide la rigidez del suelo mediante la vibración del tambor. Ofrece una lectura en tiempo real del módulo de elasticidad del material compactado, lo que facilita el control preciso de la compactación y la trazabilidad de los trabajos. Evib - MN/m2","HAMM SmartCompaction Value (Solo si es Serie VA)
El sistema determina el valor de capacidad de carga actual SCV (Smart Compaction Value) del suelo en MN/m². A continuación, el asistente de compactación coloca automáticamente el sistema de desequilibrio en el tambor VA especialmente desarrollado en todas las situaciones, de modo que siempre oscile con la amplitud óptima","Dynapac Compaction Meter (DCM) utiliza un sensor acelerómetro montado en el tambor del compactador, que mide las vibraciones generadas durante la operación. Estas señales se procesan y se presentan como CMV  Cuando el CMV deja de aumentar, se considera que se ha alcanzado la compactación","Dynapac Compaction Meter (DCM) utiliza un sensor acelerómetro montado en el tambor del compactador, que mide las vibraciones generadas durante la operación. Estas señales se procesan y se presentan como CMV  Cuando el CMV deja de aumentar, se considera que se ha alcanzado la compactación","CAT Compaction Meter Value (CMV) Sistema que mide en tiempo real la rigidez del suelo a medida que el tambor vibrante pasa sobre él. El valor se muestra en la cabina, permitiendo a los operadores monitorear el progreso de la compactación.","CAT Compaction Meter Value (CMV) Sistema que mide en tiempo real la rigidez del suelo a medida que el tambor vibrante pasa sobre él. El valor se muestra en la cabina, permitiendo a los operadores monitorear el progreso de la compactación.","CAT Compaction Meter Value (CMV) Sistema que mide en tiempo real la rigidez del suelo a medida que el tambor vibrante pasa sobre él. El valor se muestra en la cabina, permitiendo a los operadores monitorear el progreso de la compactación.",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
Telemetría,Telematics,Telematics,Telematics,Telematics,Telematics,Smart Doc,Dyn@lizer,Dyn@lizer,Vision Link,Vision Link,Vision Link,,,,,,Vision Link,
