MARCA,BOMAG,BOMAG,BOMAG,BOMAG,BOMAG,BOMAG,BOMAG,SAKAI,SAKAI,SAKAI,SAKAI,DYNAPAC,DYNAPAC,DYNAPAC,DYNAPAC,DYNAPAC REDLINE,HAMM,HAMM,HAMM,HAMM,HAMM,CATERPILLAR,CATERPILLAR,XCMG,XCMG,XCMG,XCMG,XCMG,SANY,SANY,SHANTUI,SHANTUI,JCB,JCB
Máquina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modelo,BW211 D5-SL,BW212 D5-SL,BW213 D5-SL,BW213 D5-SL TCD,BW216 D5-SL,BW219 D5-PL,BW220 D5-PL,SV521D,SV621D,SV700D,SV900-1,CA25 D-Rhino,CA2500D,CA3500D,CA4500D,DRS120D,HC119,H13i,H16i,H18i,H25i,CS11GC,CS13GC,XS113E,XS143J,XS162J,XS182,XS203J,SSR120C-8,SSR120C-10,SR16,SR22,VM115,VM137
Peso (Kg),"10,120","10,980","11,810","11,960","14,850","19,400","20,100","10,720","13,020","14,950","19,350","10,400","10,000","16,000","21,000","11,400","11,745","12,600","16,430","18,000","24,925","10,900","12,700","10,400","14,000","16,000","18,000","20,000","11,580","12,000","16,000","22,000","11,500","13,700"
Número de material,58400031,58400036,58400041,58400041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor,Cummins 4BT AA 3.9,Deutz BF 4M 2012 C,Deutz BF 4M 2012 C,Deutz TCD 2021 L04 2V,Deutz TCD 2013 L04,Deutz TCD 2012 L06,Deutz TCD 2012 L06,ISUZU 4BG1T (Tier 2),ISUZU 4BG1T (Tier 2),ISUZU BB-6BG1TRJ,ISUZU AH-4HK1XYLB-01,Cummins QSF3.8 (T3),Cummins QSB4.5,Cummins QSB6.7,Cummins QSC8.3,Dynapac 4-cyl turbo,Cummins QSB4.5,Deutz TCD2012,Deutz TCD3.6 L6,Deutz TCD3.6,Liebherr D946,Cat C4.4 (Tier 3),Cat C4.4 (Tier 3),Weichai WP4,Cummins B5.9,Cummins B5.9,Cummins B5.9,Cummins QSB6.7,Cummins QSB4.5,ISUZU 4JJ1,Cummins QSB6.7,Cummins QSC8.3,JCB DieselMAX,JCB DieselMAX
Ancho de compactación (m),2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.3,2.3,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.14,2.13,2.14,2.14,2.14,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2,2.13,2.13,2.13
Potencia (HP),110,132,132,140,162,202,202,118,131,217,166,130,130,174,250,105,121,130,168,215,215,74,100,110,150,161,174,200,145,130,168,236,125,125
Amplitud (mm),1.80 / 0.95,1.80 / 0.95,1.90 / 0.96,1.90 / 0.96,1.90 / 0.96,2.10 / 1.20,2.10 / 1.20,2.05/0.90,2.03/0.90,2.0 / 0.9,1.9 / 1.0,1.8/0.9,1.80/0.90,2.00/0.95,2.10/1.05,-,1.90/0.90,1.90/0.80,2.13/0.95,2.10/0.90,2.00/0.90,1.88/0.91,2.10/1.05,1.80/0.90,1.90/0.95,2.00/0.95,1.86/,2.00/1.00,1.80/0.90,1.80/0.90,2.0/0.9,2.1/1.0,1.90/0.95,2.00/1.00
Carga Lineal Estática (Kg/cm),28.4,32.4,37.1,37,50.2,60.1,61.8,28,34,39.9,51.4,51.4,26,37.5,49.3,32,29.1,29.6,38.4,42.1,58.3,25.6,30,,,,53.9,,,,,,,
